,acquisition,path,Session,CC,Subject,GC,MI,Processing
19,EPIlowcov_run-1_cbv,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4007/ses-ofM/func/sub-4007_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofM,-0.495449,4007,-0.39904,-0.107784,Generic
20,EPIlowcov_run-0_bold,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4007/ses-ofMaF/func/sub-4007_ses-ofMaF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofMaF,-0.534749,4007,-0.440906,-0.135491,Generic
21,EPIlowcov_run-1_cbv,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4007/ses-ofMaF/func/sub-4007_ses-ofMaF_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofMaF,-0.519738,4007,-0.408498,-0.117087,Generic
22,EPIlowcov_run-0_bold,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4007/ses-ofMcF1/func/sub-4007_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofMcF1,-0.541204,4007,-0.415964,-0.134412,Generic
23,EPIlowcov_run-1_cbv,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4007/ses-ofMcF1/func/sub-4007_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofMcF1,-0.524206,4007,-0.408359,-0.127238,Generic
24,EPIlowcov_run-0_bold,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4007/ses-ofMcF2/func/sub-4007_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofMcF2,-0.535735,4007,-0.435593,-0.147165,Generic
25,EPIlowcov_run-1_cbv,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4007/ses-ofMcF2/func/sub-4007_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofMcF2,-0.516481,4007,-0.400775,-0.116078,Generic
26,EPIlowcov_run-0_bold,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4007/ses-ofMpF/func/sub-4007_ses-ofMpF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofMpF,-0.522392,4007,-0.426226,-0.118036,Generic
27,EPIlowcov_run-1_cbv,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4007/ses-ofMpF/func/sub-4007_ses-ofMpF_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofMpF,-0.518384,4007,-0.396736,-0.106564,Generic
28,EPIlowcov_run-0_bold,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4008/ses-ofM/func/sub-4008_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofM,-0.528426,4008,-0.421148,-0.128334,Generic
