,path,acq,acquisition,type,run,session,subject,task,modality,Processing,Template,uID,Contrast,smoothness,Smoothness Change Factor
41,/home/nexus/data_scratch/irsabi/preprocessing/legacy_collapsed/sub-4008/ses-ofMpF/func/sub-4008_ses-ofMpF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMpF,4008,JogB,BOLD,Legacy,Legacy,4008_ofMpF_bold,BOLD,57.9448,9.99313610855296
42,/home/nexus/data_scratch/irsabi/preprocessing/legacy_collapsed/sub-4008/ses-ofMaF/func/sub-4008_ses-ofMaF_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMaF,4008,JogB,CBV,Legacy,Legacy,4008_ofMaF_cbv,CBV,60.2253,11.583904751829662
43,/home/nexus/data_scratch/irsabi/preprocessing/legacy_collapsed/sub-4008/ses-ofMaF/func/sub-4008_ses-ofMaF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMaF,4008,JogB,BOLD,Legacy,Legacy,4008_ofMaF_bold,BOLD,56.3824,10.353012032706634
44,/home/nexus/data_scratch/irsabi/preprocessing/legacy_collapsed/sub-4008/ses-ofM/func/sub-4008_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofM,4008,JogB,CBV,Legacy,Legacy,4008_ofM_cbv,CBV,60.4026,12.177280672221471
45,/home/nexus/data_scratch/irsabi/preprocessing/legacy_collapsed/sub-4008/ses-ofM/func/sub-4008_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofM,4008,JogB,BOLD,Legacy,Legacy,4008_ofM_bold,BOLD,57.2616,10.473718578350407
46,/home/nexus/data_scratch/irsabi/preprocessing/legacy_collapsed/sub-4008/ses-ofMcF1/func/sub-4008_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMcF1,4008,JogB,CBV,Legacy,Legacy,4008_ofMcF1_cbv,CBV,55.4762,10.244609577556341
47,/home/nexus/data_scratch/irsabi/preprocessing/legacy_collapsed/sub-4008/ses-ofMcF1/func/sub-4008_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMcF1,4008,JogB,BOLD,Legacy,Legacy,4008_ofMcF1_bold,BOLD,57.2127,10.08487393180472
48,/home/nexus/data_scratch/irsabi/preprocessing/legacy_collapsed/sub-4011/ses-ofMcF2/func/sub-4011_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMcF2,4011,JogB,BOLD,Legacy,Legacy,4011_ofMcF2_bold,BOLD,59.6381,10.407445993511717
49,/home/nexus/data_scratch/irsabi/preprocessing/legacy_collapsed/sub-4011/ses-ofMcF2/func/sub-4011_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMcF2,4011,JogB,CBV,Legacy,Legacy,4011_ofMcF2_cbv,CBV,59.5864,11.971799575265761
50,/home/nexus/data_scratch/irsabi/preprocessing/legacy_collapsed/sub-4011/ses-ofMaF/func/sub-4011_ses-ofMaF_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMaF,4011,JogB,CBV,Legacy,Legacy,4011_ofMaF_cbv,CBV,58.2746,13.224930896283151
51,/home/nexus/data_scratch/irsabi/preprocessing/legacy_collapsed/sub-4011/ses-ofMaF/func/sub-4011_ses-ofMaF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMaF,4011,JogB,BOLD,Legacy,Legacy,4011_ofMaF_bold,BOLD,58.0505,10.79977154168434
52,/home/nexus/data_scratch/irsabi/preprocessing/legacy_collapsed/sub-4011/ses-ofM/func/sub-4011_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofM,4011,JogB,BOLD,Legacy,Legacy,4011_ofM_bold,BOLD,58.4121,10.910237061719725
53,/home/nexus/data_scratch/irsabi/preprocessing/legacy_collapsed/sub-4011/ses-ofM/func/sub-4011_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofM,4011,JogB,CBV,Legacy,Legacy,4011_ofM_cbv,CBV,60.0756,13.577081798417096
54,/home/nexus/data_scratch/irsabi/preprocessing/legacy_collapsed/sub-4011/ses-ofMcF1/func/sub-4011_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMcF1,4011,JogB,BOLD,Legacy,Legacy,4011_ofMcF1_bold,BOLD,59.845,10.514026901291656
55,/home/nexus/data_scratch/irsabi/preprocessing/legacy_collapsed/sub-4011/ses-ofMcF1/func/sub-4011_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMcF1,4011,JogB,CBV,Legacy,Legacy,4011_ofMcF1_cbv,CBV,59.5323,11.25606221319705
56,/home/nexus/data_scratch/irsabi/preprocessing/legacy_collapsed/sub-4012/ses-ofMcF2/func/sub-4012_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMcF2,4012,JogB,CBV,Legacy,Legacy,4012_ofMcF2_cbv,CBV,58.6988,10.966695687590379
57,/home/nexus/data_scratch/irsabi/preprocessing/legacy_collapsed/sub-4012/ses-ofMcF2/func/sub-4012_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMcF2,4012,JogB,BOLD,Legacy,Legacy,4012_ofMcF2_bold,BOLD,59.3338,10.892112031222178
58,/home/nexus/data_scratch/irsabi/preprocessing/legacy_collapsed/sub-4012/ses-ofMpF/func/sub-4012_ses-ofMpF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMpF,4012,JogB,BOLD,Legacy,Legacy,4012_ofMpF_bold,BOLD,56.2314,10.436491733420443
59,/home/nexus/data_scratch/irsabi/preprocessing/legacy_collapsed/sub-4012/ses-ofMpF/func/sub-4012_ses-ofMpF_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMpF,4012,JogB,CBV,Legacy,Legacy,4012_ofMpF_cbv,CBV,54.9516,11.61411406651238
60,/home/nexus/data_scratch/irsabi/preprocessing/legacy_collapsed/sub-4012/ses-ofMaF/func/sub-4012_ses-ofMaF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMaF,4012,JogB,BOLD,Legacy,Legacy,4012_ofMaF_bold,BOLD,56.5742,10.433578246949645
61,/home/nexus/data_scratch/irsabi/preprocessing/legacy_collapsed/sub-4012/ses-ofMaF/func/sub-4012_ses-ofMaF_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMaF,4012,JogB,CBV,Legacy,Legacy,4012_ofMaF_cbv,CBV,60.4139,12.610056920055186
62,/home/nexus/data_scratch/irsabi/preprocessing/legacy_collapsed/sub-4012/ses-ofM/func/sub-4012_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofM,4012,JogB,BOLD,Legacy,Legacy,4012_ofM_bold,BOLD,57.5147,10.865812233855639
63,/home/nexus/data_scratch/irsabi/preprocessing/legacy_collapsed/sub-4012/ses-ofM/func/sub-4012_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofM,4012,JogB,CBV,Legacy,Legacy,4012_ofM_cbv,CBV,61.0387,13.541766501606233
64,/home/nexus/data_scratch/irsabi/preprocessing/legacy_collapsed/sub-4012/ses-ofMcF1/func/sub-4012_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMcF1,4012,JogB,BOLD,Legacy,Legacy,4012_ofMcF1_bold,BOLD,55.9287,10.30485996082846
65,/home/nexus/data_scratch/irsabi/preprocessing/legacy_collapsed/sub-4012/ses-ofMcF1/func/sub-4012_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMcF1,4012,JogB,CBV,Legacy,Legacy,4012_ofMcF1_cbv,CBV,57.9702,11.753011229895568
66,/home/nexus/data_scratch/irsabi/preprocessing/legacy_collapsed/sub-4013/ses-ofM/func/sub-4013_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofM,4013,JogB,CBV,Legacy,Legacy,4013_ofM_cbv,CBV,55.2755,12.802159498062613
67,/home/nexus/data_scratch/irsabi/preprocessing/legacy_collapsed/sub-4013/ses-ofM/func/sub-4013_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofM,4013,JogB,BOLD,Legacy,Legacy,4013_ofM_bold,BOLD,55.2142,10.962180277518023
0,/home/nexus/data_scratch/irsabi/preprocessing/generic_ambmc_collapsed/ses-ofMcF2/func/sub-4011_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMcF2,4011,JogB,BOLD,Generic,Legacy,4011_ofMcF2_bold,BOLD,5.84922,1.0207474962174952
1,/home/nexus/data_scratch/irsabi/preprocessing/generic_ambmc_collapsed/ses-ofMcF2/func/sub-4011_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMcF2,4011,JogB,CBV,Generic,Legacy,4011_ofMcF2_cbv,CBV,5.9876,1.2029984549639057
2,/home/nexus/data_scratch/irsabi/preprocessing/generic_ambmc_collapsed/ses-ofMcF2/func/sub-4012_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMcF2,4012,JogB,CBV,Generic,Legacy,4012_ofMcF2_cbv,CBV,5.8052,1.0845854055892057
3,/home/nexus/data_scratch/irsabi/preprocessing/generic_ambmc_collapsed/ses-ofMcF2/func/sub-4012_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMcF2,4012,JogB,BOLD,Generic,Legacy,4012_ofMcF2_bold,BOLD,5.53722,1.0164867340626096
6,/home/nexus/data_scratch/irsabi/preprocessing/generic_ambmc_collapsed/ses-ofMpF/func/sub-4012_ses-ofMpF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMpF,4012,JogB,BOLD,Generic,Legacy,4012_ofMpF_bold,BOLD,5.50815,1.0223071440767935
7,/home/nexus/data_scratch/irsabi/preprocessing/generic_ambmc_collapsed/ses-ofMpF/func/sub-4012_ses-ofMpF_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMpF,4012,JogB,CBV,Generic,Legacy,4012_ofMpF_cbv,CBV,5.75038,1.2153525874731848
9,/home/nexus/data_scratch/irsabi/preprocessing/generic_ambmc_collapsed/ses-ofMaF/func/sub-4012_ses-ofMaF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMaF,4012,JogB,BOLD,Generic,Legacy,4012_ofMaF_bold,BOLD,5.62665,1.0376831319435222
10,/home/nexus/data_scratch/irsabi/preprocessing/generic_ambmc_collapsed/ses-ofMaF/func/sub-4012_ses-ofMaF_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMaF,4012,JogB,CBV,Generic,Legacy,4012_ofMaF_cbv,CBV,5.89476,1.2303999432260542
11,/home/nexus/data_scratch/irsabi/preprocessing/generic_ambmc_collapsed/ses-ofMaF/func/sub-4011_ses-ofMaF_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMaF,4011,JogB,CBV,Generic,Legacy,4011_ofMaF_cbv,CBV,5.34395,1.2127645571688583
12,/home/nexus/data_scratch/irsabi/preprocessing/generic_ambmc_collapsed/ses-ofMaF/func/sub-4011_ses-ofMaF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMaF,4011,JogB,BOLD,Generic,Legacy,4011_ofMaF_bold,BOLD,5.64854,1.0508598813802752
15,/home/nexus/data_scratch/irsabi/preprocessing/generic_ambmc_collapsed/ses-ofM/func/sub-4012_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofM,4012,JogB,BOLD,Generic,Legacy,4012_ofM_bold,BOLD,5.63586,1.0647399106019444
16,/home/nexus/data_scratch/irsabi/preprocessing/generic_ambmc_collapsed/ses-ofM/func/sub-4013_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofM,4013,JogB,CBV,Generic,Legacy,4013_ofM_cbv,CBV,5.76868,1.3360632007541104
17,/home/nexus/data_scratch/irsabi/preprocessing/generic_ambmc_collapsed/ses-ofM/func/sub-4011_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofM,4011,JogB,BOLD,Generic,Legacy,4011_ofM_bold,BOLD,5.60231,1.0464018618273103
18,/home/nexus/data_scratch/irsabi/preprocessing/generic_ambmc_collapsed/ses-ofM/func/sub-4013_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofM,4013,JogB,BOLD,Generic,Legacy,4013_ofM_bold,BOLD,5.35308,1.062795947418892
19,/home/nexus/data_scratch/irsabi/preprocessing/generic_ambmc_collapsed/ses-ofM/func/sub-4011_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofM,4011,JogB,CBV,Generic,Legacy,4011_ofM_cbv,CBV,5.66219,1.279654581696717
20,/home/nexus/data_scratch/irsabi/preprocessing/generic_ambmc_collapsed/ses-ofM/func/sub-4012_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofM,4012,JogB,CBV,Generic,Legacy,4012_ofM_cbv,CBV,5.73818,1.2730463411603925
24,/home/nexus/data_scratch/irsabi/preprocessing/generic_ambmc_collapsed/ses-ofMcF1/func/sub-4011_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMcF1,4011,JogB,BOLD,Generic,Legacy,4011_ofMcF1_bold,BOLD,5.87101,1.0314638997034393
25,/home/nexus/data_scratch/irsabi/preprocessing/generic_ambmc_collapsed/ses-ofMcF1/func/sub-4012_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMcF1,4012,JogB,BOLD,Generic,Legacy,4012_ofMcF1_bold,BOLD,5.63425,1.0381102588527493
26,/home/nexus/data_scratch/irsabi/preprocessing/generic_ambmc_collapsed/ses-ofMcF1/func/sub-4012_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMcF1,4012,JogB,CBV,Generic,Legacy,4012_ofMcF1_cbv,CBV,6.03911,1.2243830045191257
27,/home/nexus/data_scratch/irsabi/preprocessing/generic_ambmc_collapsed/ses-ofMcF1/func/sub-4011_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMcF1,4011,JogB,CBV,Generic,Legacy,4011_ofMcF1_cbv,CBV,5.97182,1.1291211232560208
0,/home/nexus/data_scratch/irsabi/preprocessing/legacy_dsurqec_collapsed/ses-ofMcF2/func/sub-4011_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMcF2,4011,JogB,BOLD,Legacy,Generic,4011_ofMcF2_bold,BOLD,62.7598,10.952213921362294
1,/home/nexus/data_scratch/irsabi/preprocessing/legacy_dsurqec_collapsed/ses-ofMcF2/func/sub-4011_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMcF2,4011,JogB,CBV,Legacy,Generic,4011_ofMcF2_cbv,CBV,63.0101,12.659672146957245
2,/home/nexus/data_scratch/irsabi/preprocessing/legacy_dsurqec_collapsed/ses-ofMcF2/func/sub-4012_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMcF2,4012,JogB,CBV,Legacy,Generic,4012_ofMcF2_cbv,CBV,61.5622,11.501664655130538
3,/home/nexus/data_scratch/irsabi/preprocessing/legacy_dsurqec_collapsed/ses-ofMcF2/func/sub-4012_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMcF2,4012,JogB,BOLD,Legacy,Generic,4012_ofMcF2_bold,BOLD,62.7424,11.517840588463143
4,/home/nexus/data_scratch/irsabi/preprocessing/legacy_dsurqec_collapsed/ses-ofMpF/func/sub-4012_ses-ofMpF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMpF,4012,JogB,BOLD,Legacy,Generic,4012_ofMpF_bold,BOLD,59.2516,10.997037839924573
5,/home/nexus/data_scratch/irsabi/preprocessing/legacy_dsurqec_collapsed/ses-ofMpF/func/sub-4012_ses-ofMpF_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMpF,4012,JogB,CBV,Legacy,Generic,4012_ofMpF_cbv,CBV,58.6403,12.393727081550054
6,/home/nexus/data_scratch/irsabi/preprocessing/legacy_dsurqec_collapsed/ses-ofMaF/func/sub-4012_ses-ofMaF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMaF,4012,JogB,BOLD,Legacy,Generic,4012_ofMaF_bold,BOLD,60.7907,11.211197421030112
7,/home/nexus/data_scratch/irsabi/preprocessing/legacy_dsurqec_collapsed/ses-ofMaF/func/sub-4012_ses-ofMaF_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMaF,4012,JogB,CBV,Legacy,Generic,4012_ofMaF_cbv,CBV,61.6873,12.875850826457492
8,/home/nexus/data_scratch/irsabi/preprocessing/legacy_dsurqec_collapsed/ses-ofMaF/func/sub-4011_ses-ofMaF_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMaF,4011,JogB,CBV,Legacy,Generic,4011_ofMaF_cbv,CBV,60.0063,13.617925663009883
9,/home/nexus/data_scratch/irsabi/preprocessing/legacy_dsurqec_collapsed/ses-ofMaF/func/sub-4011_ses-ofMaF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMaF,4011,JogB,BOLD,Legacy,Generic,4011_ofMaF_bold,BOLD,63.201,11.757975576540977
10,/home/nexus/data_scratch/irsabi/preprocessing/legacy_dsurqec_collapsed/ses-ofM/func/sub-4012_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofM,4012,JogB,BOLD,Legacy,Generic,4012_ofM_bold,BOLD,64.5792,12.200454169327323
11,/home/nexus/data_scratch/irsabi/preprocessing/legacy_dsurqec_collapsed/ses-ofM/func/sub-4013_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofM,4013,JogB,CBV,Legacy,Generic,4013_ofM_cbv,CBV,62.478,14.470304585575091
12,/home/nexus/data_scratch/irsabi/preprocessing/legacy_dsurqec_collapsed/ses-ofM/func/sub-4011_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofM,4011,JogB,BOLD,Legacy,Generic,4011_ofM_bold,BOLD,63.3711,11.836481206153294
13,/home/nexus/data_scratch/irsabi/preprocessing/legacy_dsurqec_collapsed/ses-ofM/func/sub-4013_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofM,4013,JogB,BOLD,Legacy,Generic,4013_ofM_bold,BOLD,60.0287,11.918047010099686
14,/home/nexus/data_scratch/irsabi/preprocessing/legacy_dsurqec_collapsed/ses-ofM/func/sub-4011_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofM,4011,JogB,CBV,Legacy,Generic,4011_ofM_cbv,CBV,63.0285,14.244437011557636
15,/home/nexus/data_scratch/irsabi/preprocessing/legacy_dsurqec_collapsed/ses-ofM/func/sub-4012_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofM,4012,JogB,CBV,Legacy,Generic,4012_ofM_cbv,CBV,63.9721,14.1925571943276
16,/home/nexus/data_scratch/irsabi/preprocessing/legacy_dsurqec_collapsed/ses-ofMcF1/func/sub-4011_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMcF1,4011,JogB,BOLD,Legacy,Generic,4011_ofMcF1_bold,BOLD,62.9495,11.059449184106594
17,/home/nexus/data_scratch/irsabi/preprocessing/legacy_dsurqec_collapsed/ses-ofMcF1/func/sub-4012_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMcF1,4012,JogB,BOLD,Legacy,Generic,4012_ofMcF1_bold,BOLD,62.359,11.4896423892796
18,/home/nexus/data_scratch/irsabi/preprocessing/legacy_dsurqec_collapsed/ses-ofMcF1/func/sub-4012_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMcF1,4012,JogB,CBV,Legacy,Generic,4012_ofMcF1_cbv,CBV,62.4366,12.65853940397821
19,/home/nexus/data_scratch/irsabi/preprocessing/legacy_dsurqec_collapsed/ses-ofMcF1/func/sub-4011_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMcF1,4011,JogB,CBV,Legacy,Generic,4011_ofMcF1_cbv,CBV,63.039,11.919091079258298
0,/home/nexus/data_scratch/irsabi/bids_collapsed/sub-4009/ses-ofMcF2/func/sub-4009_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMcF2,4009,JogB,CBV,Unprocessed,Unprocessed,4009_ofMcF2_cbv,CBV,4.51303,1.0
1,/home/nexus/data_scratch/irsabi/bids_collapsed/sub-4009/ses-ofMcF2/func/sub-4009_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMcF2,4009,JogB,BOLD,Unprocessed,Unprocessed,4009_ofMcF2_bold,BOLD,5.4616,1.0
3,/home/nexus/data_scratch/irsabi/bids_collapsed/sub-4009/ses-ofMpF/func/sub-4009_ses-ofMpF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMpF,4009,JogB,BOLD,Unprocessed,Unprocessed,4009_ofMpF_bold,BOLD,5.59945,1.0
4,/home/nexus/data_scratch/irsabi/bids_collapsed/sub-4009/ses-ofMpF/func/sub-4009_ses-ofMpF_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMpF,4009,JogB,CBV,Unprocessed,Unprocessed,4009_ofMpF_cbv,CBV,5.56061,1.0
6,/home/nexus/data_scratch/irsabi/bids_collapsed/sub-4009/ses-ofMaF/func/sub-4009_ses-ofMaF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMaF,4009,JogB,BOLD,Unprocessed,Unprocessed,4009_ofMaF_bold,BOLD,5.35294,1.0
7,/home/nexus/data_scratch/irsabi/bids_collapsed/sub-4009/ses-ofMaF/func/sub-4009_ses-ofMaF_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMaF,4009,JogB,CBV,Unprocessed,Unprocessed,4009_ofMaF_cbv,CBV,5.03564,1.0
9,/home/nexus/data_scratch/irsabi/bids_collapsed/sub-4009/ses-ofM/func/sub-4009_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofM,4009,JogB,BOLD,Unprocessed,Unprocessed,4009_ofM_bold,BOLD,5.51036,1.0
10,/home/nexus/data_scratch/irsabi/bids_collapsed/sub-4009/ses-ofM/func/sub-4009_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofM,4009,JogB,CBV,Unprocessed,Unprocessed,4009_ofM_cbv,CBV,5.12067,1.0
12,/home/nexus/data_scratch/irsabi/bids_collapsed/sub-4009/ses-ofMcF1/func/sub-4009_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMcF1,4009,JogB,BOLD,Unprocessed,Unprocessed,4009_ofMcF1_bold,BOLD,5.5193,1.0
13,/home/nexus/data_scratch/irsabi/bids_collapsed/sub-4009/ses-ofMcF1/func/sub-4009_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMcF1,4009,JogB,CBV,Unprocessed,Unprocessed,4009_ofMcF1_cbv,CBV,5.10873,1.0
15,/home/nexus/data_scratch/irsabi/bids_collapsed/sub-4005/ses-ofMaF/func/sub-4005_ses-ofMaF_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMaF,4005,JogB,CBV,Unprocessed,Unprocessed,4005_ofMaF_cbv,CBV,5.10498,1.0
16,/home/nexus/data_scratch/irsabi/bids_collapsed/sub-4005/ses-ofMaF/func/sub-4005_ses-ofMaF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMaF,4005,JogB,BOLD,Unprocessed,Unprocessed,4005_ofMaF_bold,BOLD,5.46562,1.0
18,/home/nexus/data_scratch/irsabi/bids_collapsed/sub-4005/ses-ofM/func/sub-4005_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofM,4005,JogB,CBV,Unprocessed,Unprocessed,4005_ofM_cbv,CBV,4.9482,1.0
