,Path,Acq,Acquisition,Type,Run,Session,Subject,Task,Contrast,Uid,Processing,Threshold,Thresholded Volume,Volume Conservation Factor
20,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4008/ses-ofMpF/func/sub-4008_ses-ofMpF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMpF,4008,JogB,BOLD,4008_ofMpF_bold,Generic,7.9592456470150506,579.904,1.0323003280766307
22,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4008/ses-ofMcF2/func/sub-4008_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMcF2,4008,JogB,CBV,4008_ofMcF2_cbv,Generic,13.742691470179714,568.8,1.0203569096532077
23,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4008/ses-ofMcF2/func/sub-4008_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMcF2,4008,JogB,BOLD,4008_ofMcF2_bold,Generic,6.380042915507222,589.952,1.0583009837618307
25,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4008/ses-ofMaF/func/sub-4008_ses-ofMaF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMaF,4008,JogB,BOLD,4008_ofMaF_bold,Generic,8.373740390082823,583.0,1.0406365911387028
26,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4008/ses-ofMaF/func/sub-4008_ses-ofMaF_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMaF,4008,JogB,CBV,4008_ofMaF_cbv,Generic,16.391013907641188,567.184,1.0124055305461646
28,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4008/ses-ofMcF1/func/sub-4008_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMcF1,4008,JogB,CBV,4008_ofMcF1_cbv,Generic,16.444044701247478,561.048,1.0046881435452968
29,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4008/ses-ofMcF1/func/sub-4008_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMcF1,4008,JogB,BOLD,4008_ofMcF1_bold,Generic,8.581853088573553,559.416,1.001765664452125
31,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4005/ses-ofM/func/sub-4005_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofM,4005,JogB,CBV,4005_ofM_cbv,Generic,15.687664725370709,493.64,0.8824281252960704
32,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4005/ses-ofM/func/sub-4005_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofM,4005,JogB,BOLD,4005_ofM_bold,Generic,9.028439881280065,481.864,0.8615529852654313
34,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4005/ses-ofMaF/func/sub-4005_ses-ofMaF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMaF,4005,JogB,BOLD,4005_ofMaF_bold,Generic,7.062445865161718,473.656,0.8482773195026989
35,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4005/ses-ofMaF/func/sub-4005_ses-ofMaF_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMaF,4005,JogB,CBV,4005_ofMaF_cbv,Generic,15.426039486490193,477.568,0.8552833763749744
37,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4013/ses-ofM/func/sub-4013_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofM,4013,JogB,CBV,4013_ofM_cbv,Generic,19.75711251282599,506.472,0.8938540387140497
38,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4013/ses-ofM/func/sub-4013_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofM,4013,JogB,BOLD,4013_ofM_bold,Generic,10.122064032796773,519.528,0.9168960989453175
40,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4011/ses-ofM/func/sub-4011_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofM,4011,JogB,BOLD,4011_ofM_bold,Generic,8.016892031738536,531.768,0.9541759823149222
41,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4011/ses-ofM/func/sub-4011_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofM,4011,JogB,CBV,4011_ofM_cbv,Generic,16.823312208503488,518.424,0.9302322243076514
43,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4011/ses-ofMcF2/func/sub-4011_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMcF2,4011,JogB,CBV,4011_ofMcF2_cbv,Generic,11.634222518792377,583.856,1.0476549350616726
44,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4011/ses-ofMcF2/func/sub-4011_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMcF2,4011,JogB,BOLD,4011_ofMcF2_bold,Generic,6.085530829965139,601.912,1.0800541182634784
46,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4011/ses-ofMaF/func/sub-4011_ses-ofMaF_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMaF,4011,JogB,CBV,4011_ofMaF_cbv,Generic,15.387464227769527,510.096,0.9002499046973612
47,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4011/ses-ofMaF/func/sub-4011_ses-ofMaF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMaF,4011,JogB,BOLD,4011_ofMaF_bold,Generic,9.722257490623747,539.136,0.9515015460205853
49,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4011/ses-ofMcF1/func/sub-4011_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMcF1,4011,JogB,BOLD,4011_ofMcF1_bold,Generic,8.522747204336339,607.024,1.0890764745458623
50,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4011/ses-ofMcF1/func/sub-4011_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMcF1,4011,JogB,CBV,4011_ofMcF1_cbv,Generic,15.787374570034446,591.912,1.0619636689840772
52,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4004/ses-ofM/func/sub-4004_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofM,4004,JogB,CBV,4004_ofM_cbv,Generic,16.334813465364277,525.056,0.9267471291553557
53,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4004/ses-ofM/func/sub-4004_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofM,4004,JogB,BOLD,4004_ofM_bold,Generic,8.282602289458737,534.44,0.9433103053879746
55,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4012/ses-ofM/func/sub-4012_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofM,4012,JogB,CBV,4012_ofM_cbv,Generic,16.443046606937425,531.768,0.9384980304121311
56,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4012/ses-ofM/func/sub-4012_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofM,4012,JogB,BOLD,4012_ofM_bold,Generic,10.018076512496918,549.848,0.9705061088185145
58,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4012/ses-ofMpF/func/sub-4012_ses-ofMpF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMpF,4012,JogB,BOLD,4012_ofMpF_bold,Generic,6.066190205747262,568.696,1.0196874394853295
59,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4012/ses-ofMpF/func/sub-4012_ses-ofMpF_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMpF,4012,JogB,CBV,4012_ofMpF_cbv,Generic,11.196024809565863,549.152,0.9844415244043447
61,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4012/ses-ofMcF2/func/sub-4012_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMcF2,4012,JogB,CBV,4012_ofMcF2_cbv,Generic,12.320964620290328,557.872,1.000080670171935
62,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4012/ses-ofMcF2/func/sub-4012_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMcF2,4012,JogB,BOLD,4012_ofMcF2_bold,Generic,5.7781872241129175,556.296,0.9972554214837217
64,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4012/ses-ofMaF/func/sub-4012_ses-ofMaF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMaF,4012,JogB,BOLD,4012_ofMaF_bold,Generic,7.402939622197302,583.344,1.0442571976348902
65,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4012/ses-ofMaF/func/sub-4012_ses-ofMaF_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMaF,4012,JogB,CBV,4012_ofMaF_cbv,Generic,15.088497343249625,553.328,0.9905248818071645
67,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4012/ses-ofMcF1/func/sub-4012_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMcF1,4012,JogB,BOLD,4012_ofMcF1_bold,Generic,5.832127338580323,587.08,1.0534343200532568
68,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4012/ses-ofMcF1/func/sub-4012_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMcF1,4012,JogB,CBV,4012_ofMcF1_cbv,Generic,11.321552565763705,556.976,0.9994168321966046
70,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4007/ses-ofMpF/func/sub-4007_ses-ofMpF_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMpF,4007,JogB,CBV,4007_ofMpF_cbv,Generic,13.134875692743812,508.008,0.9069546976121401
71,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4007/ses-ofMpF/func/sub-4007_ses-ofMpF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMpF,4007,JogB,BOLD,4007_ofMpF_bold,Generic,7.860122910668144,523.616,0.9348199062709216
73,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4007/ses-ofM/func/sub-4007_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofM,4007,JogB,CBV,4007_ofM_cbv,Generic,18.396059730779385,493.976,0.871809533894566
74,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4007/ses-ofM/func/sub-4007_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofM,4007,JogB,BOLD,4007_ofM_bold,Generic,10.658326071221381,511.528,0.9028791708439825
76,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4007/ses-ofMcF2/func/sub-4007_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMcF2,4007,JogB,BOLD,4007_ofMcF2_bold,Generic,7.686653916381767,570.344,1.0227688842583211
77,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4007/ses-ofMcF2/func/sub-4007_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMcF2,4007,JogB,CBV,4007_ofMcF2_cbv,Generic,14.049526875838637,567.824,1.0183539876970533
79,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4007/ses-ofMaF/func/sub-4007_ses-ofMaF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMaF,4007,JogB,BOLD,4007_ofMaF_bold,Generic,9.000608548275197,545.688,0.9630649328645855
80,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4007/ses-ofMaF/func/sub-4007_ses-ofMaF_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMaF,4007,JogB,CBV,4007_ofMaF_cbv,Generic,16.98559802832548,534.024,0.9424795628785633
82,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4007/ses-ofMcF1/func/sub-4007_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMcF1,4007,JogB,BOLD,4007_ofMcF1_bold,Generic,8.306339861154557,543.432,0.9743027977732558
83,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4007/ses-ofMcF1/func/sub-4007_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMcF1,4007,JogB,CBV,4007_ofMcF1_cbv,Generic,15.2850985750556,533.832,0.9572869052507752
85,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4002/ses-ofM/func/sub-4002_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofM,4002,JogB,CBV,4002_ofM_cbv,Generic,13.65185357011855,516.928,0.9123299953053466
86,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4002/ses-ofM/func/sub-4002_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofM,4002,JogB,BOLD,4002_ofM_bold,Generic,6.698819908546284,519.8,0.917682243254647
88,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4001/ses-ofM/func/sub-4001_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofM,4001,JogB,BOLD,4001_ofM_bold,Generic,8.10789917036891,549.576,0.9700499872913667
89,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4001/ses-ofM/func/sub-4001_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofM,4001,JogB,CBV,4001_ofM_cbv,Generic,18.2600571885705,540.664,0.9544172318468594
91,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4001/ses-ofMcF2/func/sub-4001_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMcF2,4001,JogB,CBV,4001_ofMcF2_cbv,Generic,13.768319586436265,487.856,0.871713136020241
92,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4001/ses-ofMcF2/func/sub-4001_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMcF2,4001,JogB,BOLD,4001_ofMcF2_bold,Generic,6.373974516987801,501.656,0.8964626202878867
94,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4001/ses-ofMaF/func/sub-4001_ses-ofMaF_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMaF,4001,JogB,CBV,4001_ofMaF_cbv,Generic,16.741276453314352,527.824,0.939486171776826
95,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4001/ses-ofMaF/func/sub-4001_ses-ofMaF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMaF,4001,JogB,BOLD,4001_ofMaF_bold,Generic,8.875134223140776,543.344,0.9672087082676921
97,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4001/ses-ofMcF1/func/sub-4001_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMcF1,4001,JogB,BOLD,4001_ofMcF1_bold,Generic,6.805492992703804,546.312,0.9788537825605521
98,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4001/ses-ofMcF1/func/sub-4001_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMcF1,4001,JogB,CBV,4001_ofMcF1_cbv,Generic,11.806942053502429,531.968,0.9531529400803419
100,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4006/ses-ofM/func/sub-4006_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofM,4006,JogB,CBV,4006_ofM_cbv,Generic,14.505311960652472,544.544,0.9610679788140903
101,/home/hendrik/.scratch/mlebe/preprocessing/generic_collapsed/sub-4006/ses-ofM/func/sub-4006_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofM,4006,JogB,BOLD,4006_ofM_bold,Generic,8.817855184348304,561.288,0.9906195343123846
1,/home/hendrik/.scratch/mlebe/preprocessing/generic_masked_collapsed/sub-4009/ses-ofMpF/func/sub-4009_ses-ofMpF_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMpF,4009,JogB,CBV,4009_ofMpF_cbv,Generic Masked,14.175524762985297,537.456,0.9608461143777588
2,/home/hendrik/.scratch/mlebe/preprocessing/generic_masked_collapsed/sub-4009/ses-ofMpF/func/sub-4009_ses-ofMpF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMpF,4009,JogB,BOLD,4009_ofMpF_bold,Generic Masked,7.3888524481887,562.632,1.0058549370080287
4,/home/hendrik/.scratch/mlebe/preprocessing/generic_masked_collapsed/sub-4009/ses-ofM/func/sub-4009_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofM,4009,JogB,BOLD,4009_ofM_bold,Generic Masked,7.281733891551849,562.008,1.0059568984033795
5,/home/hendrik/.scratch/mlebe/preprocessing/generic_masked_collapsed/sub-4009/ses-ofM/func/sub-4009_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofM,4009,JogB,CBV,4009_ofM_cbv,Generic Masked,14.356415686742404,579.888,1.037960907854228
7,/home/hendrik/.scratch/mlebe/preprocessing/generic_masked_collapsed/sub-4009/ses-ofMcF2/func/sub-4009_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMcF2,4009,JogB,BOLD,4009_ofMcF2_bold,Generic Masked,7.191804826958105,552.64,0.9754547733105519
8,/home/hendrik/.scratch/mlebe/preprocessing/generic_masked_collapsed/sub-4009/ses-ofMcF2/func/sub-4009_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMcF2,4009,JogB,CBV,4009_ofMcF2_cbv,Generic Masked,13.502189164049923,543.088,0.9585947125211367
9,/home/hendrik/.scratch/mlebe/preprocessing/generic_masked_collapsed/sub-4009/ses-ofMcF1/func/sub-4009_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMcF1,4009,JogB,CBV,4009_ofMcF1_cbv,Generic Masked,13.079402402276175,608.4,1.0918958499343139
10,/home/hendrik/.scratch/mlebe/preprocessing/generic_masked_collapsed/sub-4009/ses-ofMcF1/func/sub-4009_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMcF1,4009,JogB,BOLD,4009_ofMcF1_bold,Generic Masked,6.594329581845087,634.456,1.138658568977523
13,/home/hendrik/.scratch/mlebe/preprocessing/generic_masked_collapsed/sub-4009/ses-ofMaF/func/sub-4009_ses-ofMaF_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMaF,4009,JogB,CBV,4009_ofMaF_cbv,Generic Masked,14.100244160215372,552.248,0.9900466116887775
14,/home/hendrik/.scratch/mlebe/preprocessing/generic_masked_collapsed/sub-4009/ses-ofMaF/func/sub-4009_ses-ofMaF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMaF,4009,JogB,BOLD,4009_ofMaF_bold,Generic Masked,7.893669863464311,547.728,0.982043701131166
16,/home/hendrik/.scratch/mlebe/preprocessing/generic_masked_collapsed/sub-4008/ses-ofM/func/sub-4008_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofM,4008,JogB,CBV,4008_ofM_cbv,Generic Masked,11.338922575144098,710.032,1.2531384408483544
17,/home/hendrik/.scratch/mlebe/preprocessing/generic_masked_collapsed/sub-4008/ses-ofM/func/sub-4008_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofM,4008,JogB,BOLD,4008_ofM_bold,Generic Masked,6.250913191267755,551.28,0.9729563733337099
19,/home/hendrik/.scratch/mlebe/preprocessing/generic_masked_collapsed/sub-4008/ses-ofMpF/func/sub-4008_ses-ofMpF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMpF,4008,JogB,BOLD,4008_ofMpF_bold,Generic Masked,7.9592456470150506,580.712,1.0337386672932698
20,/home/hendrik/.scratch/mlebe/preprocessing/generic_masked_collapsed/sub-4008/ses-ofMpF/func/sub-4008_ses-ofMpF_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMpF,4008,JogB,CBV,4008_ofMpF_cbv,Generic Masked,16.80722113698721,553.08,0.9846519767634382
22,/home/hendrik/.scratch/mlebe/preprocessing/generic_masked_collapsed/sub-4008/ses-ofMcF2/func/sub-4008_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMcF2,4008,JogB,BOLD,4008_ofMcF2_bold,Generic Masked,6.380042915507222,548.672,0.9842497650021885
23,/home/hendrik/.scratch/mlebe/preprocessing/generic_masked_collapsed/sub-4008/ses-ofMcF2/func/sub-4008_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMcF2,4008,JogB,CBV,4008_ofMcF2_cbv,Generic Masked,13.742691470179714,552.816,0.9916835889009279
25,/home/hendrik/.scratch/mlebe/preprocessing/generic_masked_collapsed/sub-4008/ses-ofMcF1/func/sub-4008_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMcF1,4008,JogB,CBV,4008_ofMcF1_cbv,Generic Masked,16.444044701247478,544.504,0.9750622280321617
26,/home/hendrik/.scratch/mlebe/preprocessing/generic_masked_collapsed/sub-4008/ses-ofMcF1/func/sub-4008_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMcF1,4008,JogB,BOLD,4008_ofMcF1_bold,Generic Masked,8.581853088573553,561.856,1.006135057213975
28,/home/hendrik/.scratch/mlebe/preprocessing/generic_masked_collapsed/sub-4008/ses-ofMaF/func/sub-4008_ses-ofMaF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMaF,4008,JogB,BOLD,4008_ofMaF_bold,Generic Masked,8.373740390082823,604.12,1.078335124251652
29,/home/hendrik/.scratch/mlebe/preprocessing/generic_masked_collapsed/sub-4008/ses-ofMaF/func/sub-4008_ses-ofMaF_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMaF,4008,JogB,CBV,4008_ofMaF_cbv,Generic Masked,16.391013907641188,536.256,0.95720002713152
31,/home/hendrik/.scratch/mlebe/preprocessing/generic_masked_collapsed/sub-4005/ses-ofM/func/sub-4005_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofM,4005,JogB,CBV,4005_ofM_cbv,Generic Masked,15.687664725370709,538.896,0.9633274998167716
32,/home/hendrik/.scratch/mlebe/preprocessing/generic_masked_collapsed/sub-4005/ses-ofM/func/sub-4005_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofM,4005,JogB,BOLD,4005_ofM_bold,Generic Masked,9.028439881280065,540.728,0.9667993928091871
34,/home/hendrik/.scratch/mlebe/preprocessing/generic_masked_collapsed/sub-4005/ses-ofMaF/func/sub-4005_ses-ofMaF_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMaF,4005,JogB,CBV,4005_ofMaF_cbv,Generic Masked,15.426039486490193,530.384,0.9498723078080283
35,/home/hendrik/.scratch/mlebe/preprocessing/generic_masked_collapsed/sub-4005/ses-ofMaF/func/sub-4005_ses-ofMaF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMaF,4005,JogB,BOLD,4005_ofMaF_bold,Generic Masked,7.062445865161718,566.6,1.0147320613065796
